100
22 51.6781 12.1365
17 24.3648 43.7312
19 27.9648 43.7312
18 26.1648 43.7312
20 29.7648 43.7312
23 51.6781 14.7442
26 51.6781 20.7626
25 51.6781 18.8317
24 51.6781 16.776
21 31.5648 43.7312
54 238.36 37.283
97 215.846 38.471
49 137.797 44.7009
48 130.332 40.3227
60 52.4644 54.9501
61 55.7055 51.6127
58 58.8701 54.6859
94 207.002 36.4401
96 217.534 34.9728
95 207.814 34.7564
57 233.615 40.6551
50 130.273 48.9768
55 244.128 45.3991
56 239.383 48.7712
45 238.185 202.164
29 202.343 128.885
47 225.448 189.465
46 220.819 206.845
27 198.247 128.885
31 205.943 128.885
28 200.321 128.885
30 204.143 128.885
98 190.41 179.87
99 188.146 177.651
8 198.066 237.555
4 190.976 230.465
5 192.748 232.237
7 196.293 235.782
6 194.521 234.01
71 38.3477 224.872
72 38.48 219.557
51 133.732 66.8454
76 120.888 82.4658
75 126.323 80.4638
70 44.712 225.03
92 135.732 178.821
73 44.8444 219.716
66 85.9726 212.599
68 81.3964 201.471
67 79.2011 211.046
69 88.1679 203.024
79 126.411 143.148
81 108.442 153.166
80 116.295 158.381
12 7.95599 57.9317
87 83.6914 128.804
86 91.4033 134.563
33 152.56 176.866
32 155.852 173.574
34 149.267 180.158
39 58.9529 180.57
40 60.5693 182.186
93 130.719 176.841
41 62.3719 183.989
91 135.309 169.597
90 132.054 168.312
52 120.932 63.8819
53 129.898 54.2778
77 119.015 77.3814
42 74.8476 108.71
44 66.7824 104.627
63 79.2608 86.5104
65 70.8576 87.6869
59 55.629 58.0234
62 74.3948 82.9085
64 75.7236 91.2889
43 70.392 116.253
74 124.451 75.3794
3 99.5804 127.033
14 110.799 104.627
2 101.677 124.937
0 105.87 120.743
1 103.774 122.84
85 40.3895 121.397
83 33.0834 134.884
84 30.1902 124.144
15 110.799 106.99
16 110.799 109.354
13 110.799 102.264
88 86.8805 124.533
78 118.558 137.933
89 94.5925 130.292
82 43.2827 132.137
37 43.1845 100.822
38 45.126 100.822
35 34.5127 100.822
36 39.0536 100.822
9 7.95599 45.9813
11 7.95599 55.1981
10 7.95599 51.6726

